text,label
Aku terbangun jam 2 mlm tiba2 ingat debat ini,0
this year everything is proven,0
"gua balik lagi kesini, gara gara konoha mulai hancur berantakan",0
Hanya Pak Anis yg bahas isu lingkungan di debat capres. Yg lain haya ttg pertahanan.,0
Formula one itu pakai uang pendidikan atau perindustrian.,0
awokawokawok,0
11 Juni 2025. Msh suka lihat ini.,1
ELEHH... nih.. si paling Tebar manis. COBA. NIH ULAH RAKYAT 58%,0
hadeh,0
Selesai sudah 😔,0
"watching this debate again after the elected president runs his government for months, kinda missing the time when indonesians still had the chance to achieve a change for a better life.",0
Wow dijadiin tugas,0
Presiden terbaik Iwan fals,0
Namun cinta sama pak prabowo,1
Pak Anis sosok terbaik,0
"Dikasih yang pinter, pada milih yang kosong",0
"Omon"" 😂",1
Sudah lah nis prabowo sudah di lantik,0
Hbs ntn live pelantikan pak prabowo kmrn skrng balik ntn debat capres lg cm mau ntn cak imin 😂😂😂,1
16% :face-blue-smiling:,0
Rindubuatdankanbakusla,0
Info dialog nya bro,0
pertalite,0
Perema madura halos,0
[[[[[[ R - BO ]]]]]],0
"Indonesia
MUSIC
Senin, 22 Juli | 21:30 WIB",0
"Indonesia 
MUSIC
Minggu, 21 Juli | 20:00 WIB",0
"LIVE, Senin - Jum'at | 13:00 WIB
Kuis Mendadak Jutaan 
Music",0
• L I V E,0
"LIVE, Sabtu & Minggu | 21:30 WIB
Music JFK km",0
"LIVE, Senin - Jum'at | 20:00 WIB
SBB MUSIC",0
"Senin, Rabu Kamis & Jum'at
Pukul 21:30 WIB
Selasa 
Pukul 21:30 WIB
Sabtu & Minggu
Pukul 20:00 WIB
TV NASIONAL BOLLYWOOD PLATINUM",0
04 DR ENGLISH A.S ❤ DR. MURANG CHEF S.KED❤,0
0303,0
Proses ulng kelihatan 1234 siyapa yg tenggelam ke dsr laut.,0
"|||| TV NASIONAL BOLLYWOOD PLATINUM
|||| DAERAH ERUPSI 
   ||||||||||||||||||||||||",0
"| TV NASIONAL |||| Malam Ini / 22:30 WIB 
                                ||||||||||||||||||||||||||||||||||||||||||||",0
